title,author,added_date,filename,opf_title,opf_creator,opf_language,opf_source,opf_publisher,opf_identifier
『趣味改変アプリ』で女の子にエロい趣味を持たせたら一体全体どうなるの？ という実験をしてみた話,催眠電波,2025-07-01, 趣味改変アプリで女の子にエロい趣味を持たせたら一体全体どうなるの という実験をしてみた話 .epub,『趣味改変アプリ』で女の子にエロい趣味を持たせたら一体全体どうなるの？ という実験をしてみた話,催眠電波,zh-CN,,フランス書院,urn:uuid:ed1585c6-c020-071f-9467-55dc59a946cc
『趣味改変アプリ』で女の子にエロい趣味を持たせたら一体全体どうなるの？ という実験をしてみた話２,催眠電波,2025-07-01, 趣味改変アプリで女の子にエロい趣味を持たせたら一体全体どうなるの という実験をしてみた話２ .epub,『趣味改変アプリ』で女の子にエロい趣味を持たせたら一体全体どうなるの？ という実験をしてみた話２,催眠電波,zh-CN,,フランス書院,urn:uuid:49cfacf6-c2cc-e1ca-9948-a09cce875195
『趣味改変アプリ』で女の子にエロい趣味を持たせたら一体全体どうなるの？ という実験をしてみた話３,催眠電波,2025-07-01, 趣味改変アプリで女の子にエロい趣味を持たせたら一体全体どうなるの　という実験をしてみた話３ .epub,『趣味改変アプリ』で女の子にエロい趣味を持たせたら一体全体どうなるの？ という実験をしてみた話３,催眠電波,zh-CN,,フランス書院,urn:uuid:22da40b1-8c48-255b-72e9-7d5e716a2ece
【劇場特典】青春ブタ野郎はスプリングデイズの夢を見る,鴨志田　一,2025-05-23, 劇場特典青春ブタ野郎はスプリングデイズの夢を見る .epub,【劇場特典】青春ブタ野郎はスプリングデイズの夢を見る,鴨志田 一,ja,,株式会社ＫＡＤＯＫＡＷＡ,04000000A16856500000
【配信用】ブルーロア・プラネット1 〜銛突きの少年と碧水の巫女〜,うつみいっ筆,2025-11-08, 配信用ブルーロアプラネット1　銛突きの少年と碧水の巫女 .epub,【配信用】ブルーロア・プラネット1 〜銛突きの少年と碧水の巫女〜,うつみいっ筆,zh-CN,,,urn:uuid:90549278-6292-4562-b894-ce7835350187
【配信用】ブルーロア・プラネット２ 石林島の秘薬と人魚の祠,うつみいっ筆,2025-11-08, 配信用ブルーロアプラネット２ 石林島の秘薬と人魚の祠 .epub,【配信用】ブルーロア・プラネット２ 石林島の秘薬と人魚の祠,うつみいっ筆,zh-CN,,,calibre:165
【電子版】たのしい異世界ハクスラ生活、あるいは超紳士的英雄譚１ 迷宮より愛をこめて ～非モテな淫魔と寂しがりやなドラゴン令嬢～,いらえ丸,2026-04-09, 電子版たのしい異世界ハクスラ生活あるいは超紳士的英雄譚１ 迷宮より愛をこめて ～非モテな淫魔と寂しがりやなドラゴン令嬢～ .epub,【電子版】たのしい異世界ハクスラ生活、あるいは超紳士的英雄譚１ 迷宮より愛をこめて ～非モテな淫魔と寂しがりやなドラゴン令嬢～,いらえ丸,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,B0GMF13GXJ
【電子版限定特典付き】TS転生美少女音虎玲子は寝取られたい2 (HJ文庫),二本目海老天マン,2026-02-26, 電子版限定特典付きTS転生美少女音虎玲子は寝取られたい2 HJ文庫 .epub,【電子版限定特典付き】TS転生美少女音虎玲子は寝取られたい2 (HJ文庫),二本目海老天マン,zh-CN,,ホビージャパン,ca223594-e84b-4d8d-a6dd-334feeb493ea
【電子版限定特典付き】いっつも塩対応な幼なじみだけど、俺に片想いしているのがバレバレでかわいい。2 (HJ文庫),六升六郎太,2025-08-20, 電子版限定特典付きいっつも塩対応な幼なじみだけど俺に片想いしているのがバレバレでかわいい2 HJ文庫 .epub,【電子版限定特典付き】いっつも塩対応な幼なじみだけど、俺に片想いしているのがバレバレでかわいい。2 (HJ文庫),六升六郎太,zh-CN,,ホビージャパン,B0989RT4BG
【電子版限定特典付き】やがて黒幕へと至る最適解 2,藤木わしろ,2025-06-04, 電子版限定特典付きやがて黒幕へと至る最適解 2 .epub,【電子版限定特典付き】やがて黒幕へと至る最適解 2,藤木わしろ,zh-CN,,ホビージャパン,urn:uuid:F1F3AC13-50F5-46FC-80DF-7F1797803774
【電子版限定特典付き】やがて黒幕へと至る最適解 3,藤木わしろ,2025-07-02, 電子版限定特典付きやがて黒幕へと至る最適解 3 .epub,【電子版限定特典付き】やがて黒幕へと至る最適解 3,藤木わしろ,zh-CN,,ホビージャパン,urn:uuid:5C4BF8F8-CF70-4191-B8EE-92926C3E1A7C
【電子版限定特典付き】やがて黒幕へと至る最適解1 (HJ文庫),藤木わしろ,2025-06-04, 電子版限定特典付きやがて黒幕へと至る最適解1 HJ文庫 .epub,【電子版限定特典付き】やがて黒幕へと至る最適解1 (HJ文庫),藤木わしろ,zh-CN,,ホビージャパン,9f394cd9-3240-4220-93c8-d981a49dd392
【電子版限定特典付き】クロの戦記 13 異世界転移した僕が最強なのはベッドの上だけのようです,サイトウアユム,2025-05-19, 電子版限定特典付きクロの戦記 13 異世界転移した僕が最強なのはベッドの上だけのようです .epub,【電子版限定特典付き】クロの戦記 13 異世界転移した僕が最強なのはベッドの上だけのようです,サイトウアユム,ja,,ホビージャパン,B0CM38YXCL
【電子版限定特典付き】リピート・ヴァイス 2～悪役貴族は死にたくないので四天王になるのをやめました～,黒川陽継,2025-05-27, 電子版限定特典付きリピートヴァイス 2～悪役貴族は死にたくないので四天王になるのをやめました～ .epub,【電子版限定特典付き】リピート・ヴァイス 2～悪役貴族は死にたくないので四天王になるのをやめました～,黒川陽継,ja,,ホビージャパン,11aec449-4fef-4700-93fb-76b50e17c79e
【電子版限定特典付き】リピート・ヴァイス 3 ～悪役貴族は死にたくないので四天王になるのをやめました～,黒川陽継,2025-05-27, 電子版限定特典付きリピートヴァイス 3 ～悪役貴族は死にたくないので四天王になるのをやめました～ .epub,【電子版限定特典付き】リピート・ヴァイス 3 ～悪役貴族は死にたくないので四天王になるのをやめました～,黒川陽継,ja,,ホビージャパン,f7bb497a-01d9-4519-8b7e-253bf464610a
【電子版限定特典付き】リピート・ヴァイス 4～悪役貴族は死にたくないので四天王になるのをやめました～,黒川陽継,2025-05-27, 電子版限定特典付きリピートヴァイス 4～悪役貴族は死にたくないので四天王になるのをやめました～ .epub,【電子版限定特典付き】リピート・ヴァイス 4～悪役貴族は死にたくないので四天王になるのをやめました～,黒川陽継,ja,,ホビージャパン,cd7f6b0f-86ac-4f5b-9cdb-1e737079f082
【電子版限定特典付き】リピート・ヴァイス1～悪役貴族は死にたくないので四天王になるのをやめました～ (HJ文庫),黒川陽継,2025-05-27, 電子版限定特典付きリピートヴァイス1～悪役貴族は死にたくないので四天王になるのをやめました～ HJ文庫 .epub,【電子版限定特典付き】リピート・ヴァイス1～悪役貴族は死にたくないので四天王になるのをやめました～ (HJ文庫),黒川陽継,ja,,ホビージャパン,B0CTTFLCW9
【電子版限定特典付き】国家令嬢は価値なき俺を三億で 1,氷雨ユータ,2025-12-01, 電子版限定特典付き国家令嬢は価値なき俺を三億で 1 .epub,【電子版限定特典付き】国家令嬢は価値なき俺を三億で 1,氷雨ユータ,zh-CN,,ホビージャパン,urn:uuid:E63DD2B8-17C5-47A2-8A25-772513596CAA
【電子版限定特典付き】才女のお世話 10 高嶺の花だらけな名門校で、学院一のお嬢様（生活能力皆無）を陰ながらお世話することになりました,坂石遊作,2025-11-24, 電子版限定特典付き才女のお世話 10　高嶺の花だらけな名門校で学院一のお嬢様生活能力皆無を陰ながらお世話することになりました .epub,【電子版限定特典付き】才女のお世話 10 高嶺の花だらけな名門校で、学院一のお嬢様（生活能力皆無）を陰ながらお世話することになりました,坂石遊作,ja,,ホビージャパン,urn:uuid:667e229d-e880-4964-8e00-2ade4f37d62c
【電子版限定特典付き】才女のお世話 11 高嶺の花だらけな名門校で、学院一のお嬢様（生活能力皆無）を陰ながらお世話することになりました,坂石遊作,2025-11-24, 電子版限定特典付き才女のお世話 11　高嶺の花だらけな名門校で学院一のお嬢様生活能力皆無を陰ながらお世話することになりました .epub,【電子版限定特典付き】才女のお世話 11 高嶺の花だらけな名門校で、学院一のお嬢様（生活能力皆無）を陰ながらお世話することになりました,坂石遊作,zh-CN,,ホビージャパン,urn:uuid:B196389A-A0E3-4B5E-AE4B-0AD135E58968
【電子版限定特典付き】陰キャの僕に罰ゲームで告白してきたはずのギャルが、どう見ても僕にベタ惚れです 12,結石,2025-11-29, 電子版限定特典付き陰キャの僕に罰ゲームで告白してきたはずのギャルがどう見ても僕にベタ惚れです 12 .epub,【電子版限定特典付き】陰キャの僕に罰ゲームで告白してきたはずのギャルが、どう見ても僕にベタ惚れです 12,結石,zh-CN,,ホビージャパン,urn:uuid:11E20D33-EBB9-400A-B226-6E2A1BFDCABF
【電子版限定特典付き】陰キャの僕に罰ゲームで告白してきたはずのギャルが、どう見ても僕にベタ惚れです11 (HJ文庫),結石,2025-11-29, 電子版限定特典付き陰キャの僕に罰ゲームで告白してきたはずのギャルがどう見ても僕にベタ惚れです11 HJ文庫 .epub,【電子版限定特典付き】陰キャの僕に罰ゲームで告白してきたはずのギャルが、どう見ても僕にベタ惚れです11 (HJ文庫),結石,ja,,ホビージャパン,urn:asin:B0DYP3NRZQ
あと１ヶ月で転校する僕の青春ラブコメ,,2025-11-24, あと１ヶ月で転校する僕の青春ラブコメ .epub,あと１ヶ月で転校する僕の青春ラブコメ,未知作者,zh-CN,,,Id_ED10CA57-29C2-4CEE-8C45-A2EAB46475C8_
あなた様の魔術【トリック】はすでに解けております -裁定魔術師レポフスキー卿とその侍女の事件簿-,白金　透,2025-06-17, あなた様の魔術トリックはすでに解けております　-裁定魔術師レポフスキー卿とその侍女の事件簿- .epub,あなた様の魔術【トリック】はすでに解けております -裁定魔術師レポフスキー卿とその侍女の事件簿-,白金 透,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,04916235A20695300000
あの夏に捧ぐ逢いことば,長山　久竜,2025-11-27, あの夏に捧ぐ逢いことば .epub,あの夏に捧ぐ逢いことば,長山 久竜,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,urn:uuid:42818fa1-7c1a-465e-9273-c3704c40b22e
あの日の恋（×3）が終わってくれない！1 想い出の美少女たちと再会したら、恋のレースが始まりました,柚本悠斗/かがちさく,2025-12-25, あの日の恋×3が終わってくれない1 想い出の美少女たちと再会したら恋のレースが始まりました .epub,あの日の恋（×3）が終わってくれない！1 想い出の美少女たちと再会したら、恋のレースが始まりました,柚本悠斗/かがちさく,zh-CN,,,epubx_B-27651-129231473-001-001
あの日の恋（×3）が終わってくれない！② 想い出の美少女たちと再会したら、恋のレースが始まりました,柚本悠斗,2025-12-25, あの日の恋×3が終わってくれない②　想い出の美少女たちと再会したら恋のレースが始まりました .epub,あの日の恋（×3）が終わってくれない！② 想い出の美少女たちと再会したら、恋のレースが始まりました,柚本悠斗,zh-CN,,株式会社オーバーラップ,urn:uuid:6e067f34-a85f-4275-941d-3a3ce8c40f4a
あの頃イイ感じだった女子たちと同じクラスになりました 【電子特別版】,御宮　ゆう,2025-06-17, あの頃イイ感じだった女子たちと同じクラスになりました 電子特別版 .epub,あの頃イイ感じだった女子たちと同じクラスになりました 【電子特別版】,御宮 ゆう,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,04115226A18722500000
あの頃イイ感じだった女子たちと同じクラスになりました２【電子特別版】,御宮　ゆう,2025-06-17, あの頃イイ感じだった女子たちと同じクラスになりました２電子特別版 .epub,あの頃イイ感じだった女子たちと同じクラスになりました２【電子特別版】,御宮 ゆう,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,04116063A21095200000
あの頃イイ感じだった女子たちと同じクラスになりました３【電子特別版】 (角川スニーカー文庫),御宮 ゆう,2025-11-29, あの頃イイ感じだった女子たちと同じクラスになりました３電子特別版 角川スニーカー文庫 .epub,あの頃イイ感じだった女子たちと同じクラスになりました３【電子特別版】 (角川スニーカー文庫),御宮 ゆう,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,B0G2KWKX7H
いっつも塩対応な幼なじみだけど、俺に片想いしているのがバレバレでかわいい。3 (HJ文庫),六升六郎太,2025-08-20, いっつも塩対応な幼なじみだけど俺に片想いしているのがバレバレでかわいい3 HJ文庫 .epub,いっつも塩対応な幼なじみだけど、俺に片想いしているのがバレバレでかわいい。3 (HJ文庫),六升六郎太,zh-CN,,ホビージャパン,B09P87XQ7T
いっつも塩対応な幼なじみだけど、俺に片想いしているのがバレバレでかわいい。１,六升六郎太,2025-08-20, いっつも塩対応な幼なじみだけど俺に片想いしているのがバレバレでかわいい１ .epub,いっつも塩対応な幼なじみだけど、俺に片想いしているのがバレバレでかわいい。１,六升六郎太,zh-CN,,ホビージャパン,B08R9XPSSD
うちの清楚系委員長がかつて中二病アイドルだったことを俺だけが知っている。 【電子特典付き】 (講談社ラノベ文庫),三上こた,2025-08-20, うちの清楚系委員長がかつて中二病アイドルだったことを俺だけが知っている 電子特典付き 講談社ラノベ文庫 .epub,うちの清楚系委員長がかつて中二病アイドルだったことを俺だけが知っている。 【電子特典付き】 (講談社ラノベ文庫),三上こた,zh-CN,,講談社,B0D78LYW59
うちの清楚系委員長がかつて中二病アイドルだったことを俺だけが知っている。２ 【電子特典付き】,三上　こた,2025-08-20, うちの清楚系委員長がかつて中二病アイドルだったことを俺だけが知っている２　電子特典付き .epub,うちの清楚系委員長がかつて中二病アイドルだったことを俺だけが知っている。２ 【電子特典付き】,三上 こた,zh-CN,,講談社,urn:jdcn:06A0000000000914875J
おしかけお姉さん (二次元ぷち文庫),岡下誠,2025-08-05, おしかけお姉さん 二次元ぷち文庫 .epub,おしかけお姉さん (二次元ぷち文庫),岡下誠,zh-CN,,株式会社キルタイムコミュニケーション,825b4472-ffee-4bad-80bb-6fe5398050e9
お世話した王女様、ずっとくっついてくる【電子特典付き】,夏乃実,2025-12-23, お世話した王女様ずっとくっついてくる電子特典付き .epub,お世話した王女様、ずっとくっついてくる【電子特典付き】,夏乃実,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,04076173A23276000000
お前ら早く結婚しろよっ！２ そう言われてる女子の様子が変なんですけど？【電子特典付き】 (MF文庫J),優汰,2025-08-31, お前ら早く結婚しろよっ２　そう言われてる女子の様子が変なんですけど電子特典付き MF文庫J .epub,お前ら早く結婚しろよっ！２ そう言われてる女子の様子が変なんですけど？【電子特典付き】 (MF文庫J),優汰,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,urn:asin:B0FLNLXLPY
お姉さん派の俺がなぜちっちゃい君を好きになったのか？【電子特典付き】,鏡　遊,2026-01-27, お姉さん派の俺がなぜちっちゃい君を好きになったのか電子特典付き .epub,お姉さん派の俺がなぜちっちゃい君を好きになったのか？【電子特典付き】,鏡 遊,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,04685506A23624000000
お姉ちゃんは、彼女で先生で超ブラコン１ (ブレイブ文庫),みなもと十華,2026-04-09, お姉ちゃんは彼女で先生で超ブラコン１ ブレイブ文庫 .epub,お姉ちゃんは、彼女で先生で超ブラコン１ (ブレイブ文庫),みなもと十華,zh-CN,,株式会社一二三書房,B0GR7S3K1X
お隣に美人姉妹が引っ越してきたら人生が一変した,ヘイドラ,2025-05-29, お隣に美人姉妹が引っ越してきたら人生が一変した .epub,お隣に美人姉妹が引っ越してきたら人生が一変した,ヘイドラ,ja,,フランス書院,urn:uuid:c71e3ba2-5a50-4ef5-cbbc-054c34410868
きみにナイショの七角計画【電子特典付き】,かつび　圭尚,2026-02-26, きみにナイショの七角計画電子特典付き .epub,きみにナイショの七角計画【電子特典付き】,かつび 圭尚,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,urn:uuid:07d2038d-a3c0-46d4-8fbc-dbb2e049d6a9
くたばれ愛しの魔術師ども,佐藤真登,2026-02-14, くたばれ愛しの魔術師ども .epub,くたばれ愛しの魔術師ども,佐藤真登,zh-CN,,SBクリエイティブ株式会社,calibre:125
こちら、終末停滞委員会。です！--外伝・書き下ろし,,2025-06-10, こちら終末停滞委員会です--外伝書き下ろし .epub,こちら、終末停滞委員会。です！--外伝・書き下ろし,,ja,,,urn:uuid:e8f8fcf8-df76-405e-b593-be17a9089d05
この△ラブコメは幸せになる義務がある。 (電撃文庫),榛名 千紘,2025-12-07, この△ラブコメは幸せになる義務がある 電撃文庫 .epub,この△ラブコメは幸せになる義務がある。 (電撃文庫),榛名 千紘,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,4c8c31ce-c53f-4db4-b523-f6b7b2d5704c
この△ラブコメは幸せになる義務がある。２【電子特別版】 (電撃文庫),榛名 千紘,2025-12-07, この△ラブコメは幸せになる義務がある２電子特別版 電撃文庫 .epub,この△ラブコメは幸せになる義務がある。２【電子特別版】 (電撃文庫),榛名 千紘,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,B0B7R9RXV9
この△ラブコメは幸せになる義務がある。３【電子特別版】 (電撃文庫),榛名 千紘,2025-12-07, この△ラブコメは幸せになる義務がある３電子特別版 電撃文庫 .epub,この△ラブコメは幸せになる義務がある。３【電子特別版】 (電撃文庫),榛名 千紘,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,B0BN9PBFL7
この△ラブコメは幸せになる義務がある。４【電子特別版】 (電撃文庫),榛名 千紘,2025-12-07, この△ラブコメは幸せになる義務がある４電子特別版 電撃文庫 .epub,この△ラブコメは幸せになる義務がある。４【電子特別版】 (電撃文庫),榛名 千紘,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,B0C93BPXX3
このコスプレお姉さんは、僕専用らしい,衣太,2025-12-25, このコスプレお姉さんは僕専用らしい .epub,このコスプレお姉さんは、僕専用らしい,衣太,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,2849930949
このコスプレお姉さんは、僕専用らしい２,衣太,2025-12-25, このコスプレお姉さんは僕専用らしい２ .epub,このコスプレお姉さんは、僕専用らしい２,衣太,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,04076218A23527200000
この学園が催眠にかけられていると俺だけが知っている,セラ,2025-08-05, この学園が催眠にかけられていると俺だけが知っている .epub,この学園が催眠にかけられていると俺だけが知っている,セラ,zh-CN,,フランス書院,urn:uuid:4c118623-2b8c-4278-6ebf-dab6632817bd
この学園が催眠にかけられていると俺だけが知っている 消えた術師と残されたハーレム大学,セラ,2025-08-05, この学園が催眠にかけられていると俺だけが知っている　消えた術師と残されたハーレム大学 .epub,この学園が催眠にかけられていると俺だけが知っている 消えた術師と残されたハーレム大学,セラ,zh-CN,,フランス書院,urn:uuid:16ee2399-f9d7-802c-df3b-73767792fd97
この学園が催眠にかけられていると俺だけが知っている 淫らな新天地と潜入した女スパイ,セラ,2025-08-05, この学園が催眠にかけられていると俺だけが知っている　淫らな新天地と潜入した女スパイ .epub,この学園が催眠にかけられていると俺だけが知っている 淫らな新天地と潜入した女スパイ,セラ,zh-CN,,フランス書院,urn:uuid:5c3efec2-5237-bda8-57fa-693f8be4b1a4
この学園が催眠にかけられていると俺だけが知っている 耐性持ち少女と新たなる術師,セラ,2025-08-05, この学園が催眠にかけられていると俺だけが知っている　耐性持ち少女と新たなる術師 .epub,この学園が催眠にかけられていると俺だけが知っている 耐性持ち少女と新たなる術師,セラ,zh-CN,,フランス書院,urn:uuid:f030596c-5ef1-0ff0-bec1-e52fbab854a1
この水泳部は何かおかしい 僕が愛する幼馴染はセックス予約３か月待ち!?,涼しい,2025-08-05, この水泳部は何かおかしい　僕が愛する幼馴染はセックス予約３か月待ち .epub,この水泳部は何かおかしい 僕が愛する幼馴染はセックス予約３か月待ち!?,涼しい,zh-CN,,フランス書院,urn:uuid:77a02651-098e-186b-8664-0e1bcb00e6b4
